subject,relation,object
Werner Zwingmann,affiliated_with,the European Union 's
Nikolaus van der Pas,affiliated_with,Commission
Franz Fischler,affiliated_with,EU Farm
Fischler,affiliated_with,EU
Loyola de Palacio,affiliated_with,Spanish Farm
John Lloyd Jones,travels_to,Germany
John Lloyd Jones,affiliated_with,NFU
John Lloyd Jones,affiliated_with,BBC
Lien Chan,travels_to,China
Lien Chan,travels_to,Taipei
Lien Chan,travels_to,the Taiwan Strait
Lien Chan,travels_to,Ukraine
Lien Chan,travels_to,Beijing
Shen,official_of,Ministry
Shen,affiliated_with,Ministry
Shen Guofang,affiliated_with,Foreign Ministry
Shen Guofang,affiliated_with,Reuters
Tang Shubei,travels_to,China
Tang Shubei,travels_to,Taipei
Tang Shubei,travels_to,Taiwan
Tang,affiliated_with,the People 's Daily
Lien,travels_to,China
Lien,travels_to,Taipei
Lien,travels_to,Ukraine
Tang Shubei,affiliated_with,Xinhua news agency
Tang Shubei,affiliated_with,the Association for Relations Across
Dimitris Kontogiannis,affiliated_with,Athens Newsroom
David Levy,affiliated_with,Israel Radio
Tadeusz Awdankiewicz,affiliated_with,Reuters
Massoud Rajavi,affiliated_with,Mujahideen Khalq
Hassan Rastegar,affiliated_with,the Kurdistan Democratic Party of Iran
Hassan Rastegar,affiliated_with,KDPI
Nabil Abu Rdainah,travels_to,the West Bank
Nabil Abu Rdainah,affiliated_with,Reuters
Burhanuddin Rabbani,affiliated_with,Taleban
Saddam Hussein,travels_to,Baghdad
Saddam Hussein,travels_to,Moscow
Vladimir Zhirinovsky,travels_to,Baghdad
Vladimir Zhirinovsky,travels_to,Moscow
Zhirinovsky,travels_to,Iraq
Qasr,travels_to,Gulf
Blake Bath,affiliated_with,Lehman
Blake Bath,affiliated_with,Southern New England Telecommunciations Corp
-- Shutdown of,affiliated_with,Bally
Werner Zwingmann,affiliated_with,ZDF
Tim Herron,affiliated_with,Duffy Waldorf
Davis Love,affiliated_with,Duffy Waldorf
Anders Forsbrand,affiliated_with,Duffy Waldorf
Prescott,affiliated_with,Mind Games
Jack Berry,affiliated_with,Mind Games
N. Lenham 145,affiliated_with,Sussex 368-7
N. Lenham 145,affiliated_with,V. Drakes 59
Duncan Ferguson,affiliated_with,Everton
Ally McCoist,affiliated_with,Glasgow Rangers
Ferguson,travels_to,Scotland
Jackie McNamara,affiliated_with,Celtic
Alex Ferguson,affiliated_with,United
Phillip DeFreitas,affiliated_with,Boland
Jan Ove Pedersen,affiliated_with,Brann - Mons Ivar Mjelde
Vaduz,affiliated_with,RAF Riga
Zdenek Svoboda,affiliated_with,Petr
Rishon - Moshe Sabag,affiliated_with,Nissan Kapeta
Vasco da Gama 1,affiliated_with,Palmeiras
Tony,travels_to,Sydney
Newcombe,travels_to,Sydney
Newcombe,affiliated_with,Daily Telegraph
Newcombe,affiliated_with,Roche
Newcombe,affiliated_with,Wimbledon
Jason Stoltenberg,affiliated_with,Wimbledon
Patrick Rafter,affiliated_with,Wimbledon
Karim Alami,affiliated_with,MaliVai
DAVEY JOHNSON,affiliated_with,BASEBALL - ORIOLES '
Davey Johnson,affiliated_with,Baltimore Orioles
William Goldiner,affiliated_with,Orioles
Andy Etchebarren,affiliated_with,Orioles
John McNamara,affiliated_with,California Angels
John McNamara,affiliated_with,Columbia Presbyterian Hospital
Phil Regan,affiliated_with,Orioles
Dean Palmer,affiliated_with,Rangers
Bonilla,affiliated_with,RBI
Alex Rodriguez,affiliated_with,RBI
Jimmy Key,affiliated_with,Yankees
Mo Vaughn,travels_to,Boston
Twins,affiliated_with,the Milwaukee Brewers
Luc Nilis,affiliated_with,PSV
Adrian Knup,affiliated_with,Galatasaray
Artur Jorge,affiliated_with,Knup
Rolf Fringer,affiliated_with,Knup
Marc Hottiger,affiliated_with,Everton
Yvan Quentin,affiliated_with,Everton
Ramon Vega,affiliated_with,Everton
David Sesa,affiliated_with,Inter Milan
Ciriaco Sforza,affiliated_with,Inter Milan
Murat Yakin,affiliated_with,Inter Milan
Christophe Bonvin,affiliated_with,Galatasaray
Stephane Chapuisat,affiliated_with,Galatasaray
Wayne Riley,affiliated_with,Lanner
Miguel Angel Martin,affiliated_with,Chalmers
Court,located_in,Minneapolis
Gildea,affiliated_with,Medicare
Daniel Levy,affiliated_with,Best Products Co
Andrew Wakefield,affiliated_with,the Royal Free Hospital School of Medicine
Wakefield,affiliated_with,Lancet
-- Rosemary Bennett,affiliated_with,London Newsroom
Kwai,affiliated_with,Lichtwer Pharma GmbH
Lynda Chalker,affiliated_with,Overseas Development
Pete Sampras,affiliated_with,Grand Slam
Graf,affiliated_with,Yayuk Basuki
Marcelo Rios,affiliated_with,MaliVai
Jason Stoltenberg,affiliated_with,Philippoussis
Ivanisevic,travels_to,Indianapolis
Ivanisevic,travels_to,U.S.
Ivanisevic,travels_to,Toronto
Pete Sampras,travels_to,Indianapolis
Pete Sampras,travels_to,U.S.
Pete Sampras,travels_to,Toronto
Anthony Nyakyi,travels_to,Tubmanburg
Anthony Nyakyi,affiliated_with,U.N.
Lansana Conte,affiliated_with,the Organisation of the Islamic Conference
Murray,from,Sandusky
Kazimierz Socha,affiliated_with,Reuters
Alexander Lebed,travels_to,Russia
Alexander Lebed,affiliated_with,Lebed
Lawrence Sheets,affiliated_with,Reuters
Italo Pineda,affiliated_with,Navy
"-- Jason Webb ,",affiliated_with,Buenos Aires Newsroom
Freddy Pinas,affiliated_with,Brunswijk
Alexander Downer,travels_to,Beijing
Downer,travels_to,China
Downer,travels_to,Canberra
Daoud Makkawi,affiliated_with,al-Risala
Said,affiliated_with,the Israel-PLO
Taha,affiliated_with,Reuters
Mubarak,affiliated_with,Turabi
Hassan al-Turabi,affiliated_with,the National Islamic Front
Burcin Mavituna,affiliated_with,Interbank
Alicia Machado,travels_to,Venezuela
Alicia Machado,travels_to,New Mexico
Machado,affiliated_with,the Miss Venezuela Organisation
Martin Brooks,affiliated_with,Miss Universe Inc
Machado,affiliated_with,Miss Universe Inc
Robert Aranosian,affiliated_with,Pontiac Osteopathic Hospital
Kevorkian,affiliated_with,Pontiac Osteopathic Hospital
Patricia Smith,affiliated_with,Lees Summit
Manfred Kanther,affiliated_with,Interior
Lauck,affiliated_with,Bertram
Akashi,affiliated_with,the Department of Humanitarian affairs
Pierre Claverie,affiliated_with,the French
Claverie,travels_to,Oran
Claverie,travels_to,Algiers
Herve de Charette,travels_to,Oran
Herve de Charette,travels_to,Algiers
convention,located_in,Chicago
Dick Spring,affiliated_with,the Democratic party convention
Martin,official_of,Ministry
Martin,affiliated_with,Ministry
Martin Erdmann,affiliated_with,Foreign Ministry
Erdmann,affiliated_with,Reuters
Erdmann,travels_to,Moscow
Tim Goldiman,affiliated_with,OSCE
Gujral,affiliated_with,the United Nations General Assembly
Siraj Mia,affiliated_with,State
Liam Fox Fox,affiliated_with,State
Liam Fox Fox,affiliated_with,Commonwealth
Siraj Mia,travels_to,Dhaka
Siraj Mia,travels_to,London
Inderjit Gupta,travels_to,Srinagar
C. Rangarajan,affiliated_with,The Reserve bank
Chakravarty Rangarajan,affiliated_with,The Reserve Bank of India
Loretto,affiliated_with,Order
Teresa,affiliated_with,the Child Jesus
Saint Therese,affiliated_with,the Child Jesus
Murdoch,affiliated_with,News
Rupert Murdoch 's,affiliated_with,News Corp Ltd
Lachlan Drummond,affiliated_with,First Pacific
Vivit Chatuparisut,affiliated_with,the Correction Department
Ka Wah Bank,affiliated_with,FRCD
Megawati,official_of,Party
Megawati,affiliated_with,Party
Megawati Sukarnoputri,affiliated_with,Indonesian Democratic Party
Adelbert Knobl,affiliated_with,the International Monetary Fund 's
Adelbert Knobl,travels_to,Ukraine
Kuchma,affiliated_with,the European Union
Marina Volkova,travels_to,Russia
-- Dmitry Solovyov,affiliated_with,Moscow Newsroom
Forrest Gump,affiliated_with,Viacom Inc-
Forrest Gump,affiliated_with,Paramount
William Goldman,affiliated_with,Academy Award
Oscars,affiliated_with,Goldman
Gerhard Berger,affiliated_with,Benetton
Mika Hakkinen,affiliated_with,McLaren
Jean Alesi,affiliated_with,Benetton
Johnny Herbert,affiliated_with,Sauber
A. Wells 51,affiliated_with,A. Penberthy 4-36
W. Khan 52,affiliated_with,S. Lampitt 4-90
R. Illingworth,affiliated_with,S. Lampitt 4-90
Wasim Akram,affiliated_with,I. Salisbury
G. Thorpe,affiliated_with,J. Crawley 106
Bryan Robson,affiliated_with,Nottingham Forest
Gary Teichmann,affiliated_with,Springbok
Mary Pierce,affiliated_with,Wimbledon
Meredith McGrath,affiliated_with,Wimbledon
Boris Becker,affiliated_with,Men 's
Edgar Martinez,affiliated_with,Orioles
Rocky Coppinger,affiliated_with,Orioles
Jay Buhner,affiliated_with,Orioles
Davey Johnson,affiliated_with,Orioles
Roger Clemens,travels_to,Boston
Roger Clemens,travels_to,Oakland
Matt Stairs,travels_to,Boston
Matt Stairs,travels_to,Oakland
Lee Tinsley,travels_to,Boston
Lee Tinsley,travels_to,Oakland
Terry Steinbach,travels_to,Boston
Terry Steinbach,travels_to,Oakland
Kenny Rogers,affiliated_with,Angels
Travis Fryman,travels_to,Kansas City
Melvin Nieves,travels_to,Kansas City
Damion Easley,travels_to,Kansas City
Damion Easley,affiliated_with,the Detroit Tigers
Nail Besirovic,affiliated_with,Espinho
Andre Trulsen,affiliated_with,Schalke
Martin Max,affiliated_with,Schalke
Karsten Baeron,affiliated_with,Hansa Rostock 1-0
St Pauli 4,affiliated_with,Trulsen 54th
Sobotzik,affiliated_with,Trulsen 54th
Sobotzik,affiliated_with,Schalke 4
Allen Johnson,affiliated_with,American Olympic
Michelle Freeman,affiliated_with,Jamaican Commonwealth
Gail Devers,affiliated_with,American Olympic
Brian Wellman,affiliated_with,Bermuda
Paulo Sousa,affiliated_with,Borussia Dortmund
Cam Battersby,affiliated_with,Ranatunga
Dos Santos,affiliated_with,UN Security Council
TUE McCarthy,affiliated_with,DIV
Buffett,affiliated_with,Property Capital
Buffett,affiliated_with,the Securities and Exchnage Commission
Petrobulk Rainbow,affiliated_with,Okinawa / Inchon
Moller,affiliated_with,AP
Moller,affiliated_with,"Caribs / Japan $ 875,000 BP"
W167.5 Jomo,affiliated_with,Northsea Chaser
Pole Wojtek Lazarek,affiliated_with,Taibe
Betar,affiliated_with,Taibe
Sameh Haj Yihye,travels_to,Tel Aviv
Phelan,affiliated_with,Soccer - Kennedy
Liechenstein,affiliated_with,the Football Association of Ireland
Mark Kennedy,affiliated_with,F.A.I.
Mark Kennedy,travels_to,Liverpool
Mark Kennedy,affiliated_with,Chelsea
Terry Phelan,travels_to,Liverpool
Terry Phelan,affiliated_with,Chelsea
Liechenstein,travels_to,Liverpool
-- Damien Lynch,affiliated_with,Dublin Newsroom +353
Fenerbahce,affiliated_with,Rapid Vienna
Umar Shelling,affiliated_with,NAN
Karin Gornji,affiliated_with,HINA
Zbigniew Siemiatkowski,affiliated_with,Interior
Bernd Schmidbauer,affiliated_with,Interior
Ryszard,official_of,Ministry
Ryszard,affiliated_with,Ministry
Ryszard Hincza,affiliated_with,Ministry
Belem,affiliated_with,Amazon Affairs Department
Tsang,travels_to,HK
Tsang,travels_to,Indonesia
Tsang,travels_to,New Zealand
Donald Tsang,travels_to,Hong Kong
Donald Tsang,travels_to,Indonesia
Donald Tsang,travels_to,New Zealand
Ibrahim,affiliated_with,Reuters
Jordan,affiliated_with,pro-Baghdad
Massoud Barzani,affiliated_with,the Kurdistan Democratic Party
Jalal Talabani,affiliated_with,the Kurdistan Democratic Party
Jalal Talabani,affiliated_with,KDP
Jalal Talabani,affiliated_with,the Patriotic Union of Kurdistan
Robert Pelletreau,affiliated_with,Near Eastern Affairs
Richard Black,affiliated_with,the Chesapeake Police Department
Glickman,affiliated_with,USDA
Dan Glickman,affiliated_with,Agriculture
Philip Wilcox,travels_to,Washington
Philip Wilcox,travels_to,Colombo
King Birendra,travels_to,Nepal
King Birendra,travels_to,China
Jiang Zemin,travels_to,China
Li Peng,travels_to,China
Robert Coughlan,affiliated_with,Paribas Capital Markets OTC
Riza Altun,affiliated_with,PKK
Erbakan,affiliated_with,Nacar
Ciments Libanais,affiliated_with,Beirut Stock Exchange
Ciments Blancs,affiliated_with,Eternit
Ciments Blancs,affiliated_with,Uniceramic
Americast,affiliated_with,Disney
Americast,affiliated_with,Ameritech Corp.
Americast,affiliated_with,Southern New England Telecommunications Corp.
Robert Gutenstein,affiliated_with,"Kalf , Voorhis & Co"
Rob Enderle,affiliated_with,Giga Information Group
Scott Winkler,affiliated_with,Gartner Group
Ann Stephens,affiliated_with,PC Data Inc
Winkler,affiliated_with,NT
Thompson,travels_to,Wisconsin
Phan,affiliated_with,fed
Wayne Jordan,affiliated_with,the Arkansas State Police
Fannie Johnson,affiliated_with,St. Matthew 's
Jerome Turner,affiliated_with,Mount Zion Missionary
Jerome Turner,affiliated_with,Baptist Church
Lockhart,affiliated_with,Paramount
Peter Roe,affiliated_with,Paribas
Koninklijke Boskalis,affiliated_with,Westminster NV
James Harvey,travels_to,California
Jennifer Hurley,travels_to,California
Yingkou,affiliated_with,the State Planning Commission
Specia,affiliated_with,Dia
Minorco,affiliated_with,the local county council
MCRAE,affiliated_with,RALLYING - KANKKUNEN
Marcus Gronholm,affiliated_with,Toyota
Tommi Makinen,affiliated_with,Mitsubishi
Colin McRae,affiliated_with,Mitsubishi
Carlos Sainz,affiliated_with,Ford
Michael Schumacher,affiliated_with,Ferrari
David Coulthard,affiliated_with,McLaren
Eddie Irvine,affiliated_with,Ferrari
Graham Gooch,travels_to,England
Graham Gooch,travels_to,Essex
G. Thorpe 54,affiliated_with,J. Crawley 106
Waqar,affiliated_with,J. Crawley 106
Croft,affiliated_with,Cork 14.3-4-45-1
D. Cox,affiliated_with,Durham 326
S. Campbell 69,affiliated_with,Durham 326
M. Dowman 107,affiliated_with,B. Julian 4-104
N. Fairbrother,affiliated_with,M. Watkinson 64
D. Gough,affiliated_with,M. Watkinson 64
Greenock Morton,affiliated_with,Dundee
Stranraer,affiliated_with,Livingston
Tottenham Hotspur,affiliated_with,Everton
Aston Villa 2,affiliated_with,Derby 0
Joel Stransky,travels_to,New Zealand
Jon Preston,travels_to,New Zealand
Zinzan Brooke,travels_to,New Zealand
Sutjeska,affiliated_with,Sloboda 2
Mladost,affiliated_with,OFK Beograd 2
BJ,affiliated_with,OFK Beograd 2
Romeo Wouden,affiliated_with,Heerenveen
Edwin van der Sar,affiliated_with,Ajax
Marcio Santos,affiliated_with,Ajax
van der Sar,affiliated_with,Ajax
PSV Eindhoven,affiliated_with,Ajax
PSV Eindhoven,travels_to,Groningen
Xavier Gravelaine,affiliated_with,Bastia
Auxerre 0,affiliated_with,Bordeaux 0
Bobic 61st,affiliated_with,Werder Bremen 1
Sturm Graz,affiliated_with,Admira / Wacker
Michael Penrose,travels_to,Britain
Michael Penrose,travels_to,Moscow
Kalashnikovs,affiliated_with,Kalashnikov
Penrose,affiliated_with,Swerford
Frederic Malardeau,affiliated_with,Swerford
Nasr 1-0,affiliated_with,Soccer - Nijmeh
Michael Stroud,affiliated_with,Eco-Challenge
Ubimini,located_in,Nigeria
Florence Chitauro,affiliated_with,Labour and Social Welfare
Goma,affiliated_with,Hutu
Kengo wa Dondo,travels_to,Rwanda
Karl Marx,affiliated_with,congress
Chamorro,travels_to,Taiwan
King Birendra,travels_to,Tibet
Mohamed Ali Khalfallah,affiliated_with,the Movement of Socialist
Mohamed,official_of,MDS
Mohamed,affiliated_with,MDS
Mohamed Moada,affiliated_with,MDS
Khalfallah,affiliated_with,Moada
Khalfallah,affiliated_with,MDS
Ahmed Mestiri,affiliated_with,MDS
Mustapha Ben Jaafar,affiliated_with,MDS
Boutros Boutros-Ghali,affiliated_with,U.N.
Clinton,affiliated_with,Congress
Clinton,affiliated_with,White House
Mike McCurry,affiliated_with,White House
Volker Ruehe,affiliated_with,Defence
Bossi,affiliated_with,Padania
Cesare dal Maso,affiliated_with,ANSA
Cesare dal Maso,affiliated_with,Stevanin
Julie,affiliated_with,Eefje
Melissa,affiliated_with,Eefje
Julie,affiliated_with,Dutroux
George Grech,travels_to,Malta
George Grech,travels_to,Freeport
Jim Bidzos,affiliated_with,RSA Data Security
Kleiner Perkins,affiliated_with,Kleiner Perkins Caufield & Byers
Prasad Wagle,affiliated_with,JavaSoft
Prasad Wagle,affiliated_with,Java
Chris Zuleeg,affiliated_with,Apple
Chris Zuleeg,affiliated_with,JavaSoft
Steve Stricker,affiliated_with,Duffy Waldorf
Mickelson,affiliated_with,Mayfair
Alexander Cejka,affiliated_with,Davis
Craig Parry,affiliated_with,Willie Wood
Tommi Makinen,affiliated_with,Mitsubishi Lancer
Juha Kankkunen,affiliated_with,Toyota
Kenneth Eriksson,affiliated_with,Subaru
Peter Johansson,affiliated_with,Husqvarna
Gert Jan Van Doorn,affiliated_with,Honda
Jacky Martens,affiliated_with,Husqvarna
Peter Dirkx,affiliated_with,KTM
Danny Theybers,affiliated_with,Honda
Shayne King,affiliated_with,KTM
Johan Boonen,affiliated_with,Husqvarna
Dietmar Lalcher,affiliated_with,Honda
Claus Manne Nielsen,affiliated_with,KTM
Darryll King,affiliated_with,Honda
Sebastien Tortelli,affiliated_with,Kawasaki
Bob Moore,affiliated_with,Yamaha
Andi Kanstinger,affiliated_with,Honda
Nicolas Charlier,affiliated_with,Kawasaki
Alex Belometti,affiliated_with,Honda
Frederic Vialle,affiliated_with,Yamaha
Collin Dugmore,affiliated_with,Honda
Paul Malin,affiliated_with,Yamaha
Olivier Grouillard,affiliated_with,Harrods
David Brabham,affiliated_with,Gulf McLaren
Belmondo,affiliated_with,Ennea Ferrari
Belmondo,affiliated_with,F40
H. Wada,affiliated_with,Cor Euser
N. Furuya,affiliated_with,Cor Euser
Thomas Radstrom,affiliated_with,Toyota
Yuuchi Takeda,affiliated_with,Honda
Troy Corser,affiliated_with,Ducati 38:34.436
John Kocinski,affiliated_with,Ducati 38:36.306
Aaron Slight,affiliated_with,Honda
Carl Fogarty,affiliated_with,Honda
Shiya Takeishi,affiliated_with,Kawasaki
Takuma Aoki,affiliated_with,Honda
Simon Crafar,affiliated_with,Kawasaki
Anthony Gobert,affiliated_with,Kawasaki
Neil Hodgson,affiliated_with,Ducati
Takeda,affiliated_with,Honda
Takeda,affiliated_with,Yamaha
Corser,affiliated_with,Honda
Corser,affiliated_with,Yamaha
Noriyuki Haga,affiliated_with,Yamaha
Wataru Yoshikawa,affiliated_with,Yamaha
Haga,affiliated_with,Yamaha
Kocinski,affiliated_with,Corser
Glenn Hoddle,affiliated_with,Everton
Andy Hinchcliffe,affiliated_with,Everton
Darren Anderton,affiliated_with,Tottenham
Solskjaer 70th,affiliated_with,Manchester United 2
Blackburn,affiliated_with,Bohinen 51st
Lewis,travels_to,England
GKS Belchatow,affiliated_with,Widzew
Marek Citko,affiliated_with,Widzew
F.C. Brasov 1,affiliated_with,F.C. National
Jiul Petrosani,affiliated_with,Dinamo
Ruch Chorzow,affiliated_with,Lodz
Rostselmash Rostov,affiliated_with,Chernomorets
Lada Togliatti,affiliated_with,Spartak
Lokomotiv Nizhny,affiliated_with,Uralmash
Lokomotiv Nizhny,affiliated_with,Yekaterinburg 2
Roberto Alomar,affiliated_with,the Baltimore Orioles
Mike Devereaux,affiliated_with,Orioles
Randy Johnson,affiliated_with,the Boston Red Sox
David Hulse,affiliated_with,the Milwaukee Brewers
Bob Wickman,affiliated_with,the New York Yankees
Whitehurst,affiliated_with,Triple-A
Ellis Burks,affiliated_with,the Colorado Rockies
Vinny Castilla,affiliated_with,RBI
Dante Bichette,affiliated_with,RBI
Tom Candiotti,travels_to,Los Angeles
Mike Piazza,travels_to,Los Angeles
Todd Hollandsworth,travels_to,Los Angeles
Todd Hollandsworth,affiliated_with,the Los Angeles Dodgers
Todd Stottlemyre,affiliated_with,the Houston Astros
Gabriel Batistuta,affiliated_with,Fiorentina
Batistuta,affiliated_with,Fiorentina
Oscar Tabarez,affiliated_with,Fiorentina
Stabaek,affiliated_with,Stromsgodset
Greg Turner,affiliated_with,Heinz-Peter Thul
PSV Eindhoven,affiliated_with,Groningen 4-1
Romano Sion,affiliated_with,Groningen
Pablo Sanchez,affiliated_with,Feyenoord Rotterdam 's
Sanchez,affiliated_with,Feyenoord Rotterdam 3
Petrovic 78th,affiliated_with,Nilis
Graafschap Doetinchem,affiliated_with,Godee 54th
Arnold 70th,affiliated_with,NAC Breda 1
Dahl Tomasson 74th,affiliated_with,Heerenveen 2
David,official_of,Ajax
David,affiliated_with,Ajax
David Endt,affiliated_with,Ajax
Cricket,located_in,India
Trafford,located_in,Manchester
Tutu,affiliated_with,Truth
Desmond Tutu 's,affiliated_with,Truth and Reconciliation Commission
F.W. de Klerk,affiliated_with,African National Congress
Thabo Mbeki,affiliated_with,African National Congress
Klerk,affiliated_with,National
de Klerk 's,affiliated_with,ANC
de Klerk 's,affiliated_with,National Party
de Klerk 's,affiliated_with,Freedom Front of General
Jannie Gagiano,affiliated_with,the National Party
Tom Lodge,affiliated_with,the University of the Witwatersrand
Doboj,located_in,Bosnia
Reuf Mehemdagic,affiliated_with,Doboj
Grozny,affiliated_with,Russian Interior Ministry
Anatoly Shkirko,affiliated_with,Interfax news
Grozny,affiliated_with,Shkirko
Grozny,affiliated_with,Interfax
Vicente,affiliated_with,EPR
La Jornada,affiliated_with,EPR
La Jornada,affiliated_with,the Mexican Army
Guerrero,affiliated_with,EPR
Mohammed Saleh,affiliated_with,the Egyptian Museum
Saleh,affiliated_with,Metropolitan Museum
Shabir Ahmad Muhammad Jalil,affiliated_with,Interior Ministry
Weizman,affiliated_with,PLO
Levy,travels_to,Egypt
Levy,heads_for,Egypt
Erekat,affiliated_with,Israel-PLO
Jacques Chirac,affiliated_with,Riviera
Jumbish,affiliated_with,the Supreme Coordination Council
Begum Khaleda Zia,affiliated_with,BNP
Hasina,affiliated_with,the home ministry
Garhi Habibullah,affiliated_with,Muzaffarabad
Gilbertson,affiliated_with,Impala
Implats,affiliated_with,the European Commission 's
Implats,affiliated_with,Lonrho Plc 's
William J. Mercer,affiliated_with,IVAC
Joseph Kuhn,affiliated_with,Advanced Medical
Joseph Kuhn,affiliated_with,IMED
Sebastian Lindholm,affiliated_with,Ford
Rui Madeira,affiliated_with,Toyota
Angelo Medeghini,affiliated_with,Subaru
Finn Juha Kankkunen,affiliated_with,Makinen
Wimbledon 0,affiliated_with,Leeds 1
C. Hooper 77,affiliated_with,Kent 323-5
N. Fairbrother,affiliated_with,Lancashire 323
Crewe v Watford,affiliated_with,Gillingham v Chesterfield
Crewe v Watford,affiliated_with,Luton v Rotherham
Morton,affiliated_with,Partick v St Mirren
St Johnstone,affiliated_with,Partick v St Mirren
Livingston,affiliated_with,"South , Dumbarton v Brechin"
Livingston,affiliated_with,Stenhousemuir
Hamilton,affiliated_with,"South , Dumbarton v Brechin"
Hamilton,affiliated_with,Stenhousemuir
Kremin Kremenchuk,affiliated_with,Dynamo Kiev 5
Maslova,affiliated_with,Reuters
Popov,affiliated_with,NTV
Vitaly Smirnov,affiliated_with,the Russian National Olympic Committee
Smirnov,affiliated_with,the Olympic Committee
Stadler,affiliated_with,Haladas
Boby Brno,affiliated_with,Sigma Olomouc 0
SK Hradec Kralove,affiliated_with,Kaucuk
Santos,affiliated_with,Narciso
Jean,affiliated_with,Narciso
Juventude,affiliated_with,Internacional 2-1
Atletico Paranaense,travels_to,Spain
Atletico Paranaense,travels_to,Sao Paulo
Atletico Paranaense,travels_to,Curitiba
Tulio,affiliated_with,Botafogo
Zagalo,affiliated_with,Botafogo
Velez Sarsfield,affiliated_with,Newell 's Old Boys 0
Atletico Mineiro,affiliated_with,Portuguesa
Sidi Kacem,affiliated_with,Royal Armed Forces 0
Huber,affiliated_with,Maleeva
Haas,affiliated_with,Grandstand
Stich,affiliated_with,U.S. Open
Vinny Castilla,travels_to,Colorado
Vinny Castilla,travels_to,Rockies
Vinny Castilla,travels_to,the Pittsburgh Pirates
Larry Walker,travels_to,Colorado
Larry Walker,affiliated_with,RBI
Larry Walker,travels_to,Rockies
Larry Walker,travels_to,the Pittsburgh Pirates
Jesus Tavarez,affiliated_with,the Florida Marlins
Trenidad Hubbard,affiliated_with,the San Francisco Giants
Jody Reed,affiliated_with,the San Diego Padres
Ken Caminiti,affiliated_with,RBI
Donne Wall,affiliated_with,the Houston Astros
Barry Bonds,affiliated_with,San Francisco Giants
Sammy Sosa,affiliated_with,Cubs
Fred McGriff,affiliated_with,Atlanta Braves
Jean-Paul van Gastel,affiliated_with,Feyenoord
Edgar Davids,affiliated_with,AC Milan
Ed de Goey,affiliated_with,Ajax
Ed de Goey,affiliated_with,Feyenoord
John Veldman,affiliated_with,Ajax
Jaap Stam,affiliated_with,Ajax
Arthur Numan,affiliated_with,AC Milan
Michael Reiziger,affiliated_with,AC Milan
Michael Reiziger,affiliated_with,Schalke ' 04
Johan de Kock,affiliated_with,AC Milan
Johan de Kock,affiliated_with,Schalke ' 04
Philip Cocu,affiliated_with,Ajax
Wim Jonk,affiliated_with,Ajax
Wim Jonk,affiliated_with,Internazionale
Aron Winter,affiliated_with,Internazionale
Jean-Paul van Gastel,affiliated_with,Internazionale
Clarence Seedorf,affiliated_with,Feyenoord
Clarence Seedorf,affiliated_with,Real Madrid
Gaston Taument,affiliated_with,Strikers - Ronald de Boer
Gaston Taument,affiliated_with,Ajax
Gaston Taument,affiliated_with,Feyenoord
Jordi Cruyff,affiliated_with,Ajax
Jordi Cruyff,affiliated_with,Feyenoord
Brandes,affiliated_with,I. Healy
Ponting b Flemming,affiliated_with,G. Flower c
Flemming,affiliated_with,A. Flower
Brad Hogg,affiliated_with,Damein Fleming
Paul Reiffel,affiliated_with,Damein Fleming
Glenn McGrath,affiliated_with,Damein Fleming
Maputo,affiliated_with,Nhamavila
Maputo,travels_to,Maputo
Maputo,affiliated_with,Noticias
Agota Kuperman,affiliated_with,OSCE
Robert Frowick,affiliated_with,OSCE
Robert Frowick,travels_to,Bosnia
Soren Jessen-Petersen,affiliated_with,U.N.
Yeltsin,affiliated_with,Lebed 's Security Council
Yeltsin,affiliated_with,Lebed
Maskhadov,affiliated_with,Lebed
Sergei Yastrzhembsky,travels_to,Moscow
